SERIES;INDICE PRODUCCION INDUSTRIAL. FRANCIA. CVEC;INDICE PRODUCCION INDUSTRIAL. ALEMANIA. CVEC;INDICE PRODUCCION INDUSTRIAL. ITALIA. CVEC
PERIODOS;610003.D;610004.D;610007.D
199001;91,6;-;105,1
199002;93,2;-;105,5
199003;92,7;-;106
199004;93,1;-;106,8
199005;93,3;-;105,6
199006;91,9;-;104,6
199007;92,1;-;104,9
199008;91,4;-;105,8
199009;92,2;-;105,7
199010;91,9;-;105,1
199011;90,9;-;103,6
199012;91,9;-;105,2
199101;93,2;81,8;105,9
199102;92,8;80,9;103,9
199103;91,6;80,2;103,4
199104;91,7;79,5;102,4
199105;91,8;78,7;103,6
199106;92,1;81,6;103,9
199107;90,6;79;104
199108;91,6;78,2;104,6
199109;91,9;77,9;105,8
199110;91,5;79,1;105
199111;92,9;80;105,5
199112;92,1;79,8;104,2
199201;92,4;81,1;104,9
199202;91,7;81,9;104,9
199203;92,6;80;104,8
199204;91,9;79,9;105,1
199205;91,9;79;104,8
199206;90,9;78,2;104,6
199207;90,5;76,5;103,3
199208;90,8;77,2;101,6
199209;89,5;76,5;100,7
199210;90,5;76,4;101,4
199211;89,3;75,2;102
199212;88,1;73,8;100,3
199301;87,9;73,7;102
199302;88,1;72,5;101,8
199303;87,7;72,4;101,4
199304;87,1;71,8;101,2
199305;87;71,6;100,6
199306;86,3;71,3;100,2
199307;87,5;69,8;99,6
199308;86,9;72,8;99,7
199309;87,5;72,4;100,2
199310;87,9;72,4;100,1
199311;87,3;72,1;100,9
199312;86,4;72,7;100,7
199401;88;72,2;101
199402;87,8;73,4;102,8
199403;87,7;72,9;104,1
199404;90,2;74;105,9
199405;90,1;73,6;106,3
199406;90,6;73,9;107,2
199407;91,5;73,7;107,5
199408;92,1;73,7;107,9
199409;91,7;74,7;108,5
199410;92,6;76,2;108,2
199411;93,4;75,9;110
199412;93,2;76,1;112,5
199501;94;74,7;112,3
199502;93,4;75,7;111,6
199503;94,1;75,2;112
199504;94,2;75,6;111,9
199505;93,7;76,1;112,7
199506;94,3;75,4;112,4
199507;94,7;75;112,4
199508;94,1;74,3;114,2
199509;94,3;75,6;113,7
199510;92,5;73,7;114,4
199511;92,6;74,2;114,4
199512;94,6;74,6;116,3
199601;93,8;74,5;114,6
199602;94;74,5;113,3
199603;94,7;74,7;112,1
199604;93,8;74,2;111
199605;95,7;75,1;110,8
199606;94,7;75;111,2
199607;93,2;74,3;111
199608;95,3;75,7;111,5
199609;95,4;75,9;109,9
199610;94,4;75;110,5
199611;95,6;75,9;110,1
199612;95,8;76;109,6
199701;94,9;75,5;110,4
199702;95,6;75,9;112,4
199703;96;76,8;113
199704;99,5;76,4;114,9
199705;97,6;75,9;114,6
199706;98,4;78;115,7
199707;98,6;78,9;116,4
199708;102,4;76,5;117,1
199709;100;77,2;117,1
199710;102,5;78,3;118,5
199711;100,2;78,7;117,9
199712;102,3;79,4;118,7
199801;102,2;79,9;117,7
199802;102,9;79,8;117,7
199803;101,6;80,8;117,1
199804;103;80,4;118
199805;104,3;80,7;117,9
199806;103,7;79,9;117,8
199807;104,4;81,9;117,5
199808;101,6;80,4;115,7
199809;103,6;79,6;117,5
199810;103,7;80;116,8
199811;104,2;79;116,5
199812;103,5;79,1;113,7
199901;103,8;80,5;115,9
199902;103,5;79;115,4
199903;103,5;79,6;115,6
199904;104,3;80,3;114,8
199905;104,8;80,6;114,1
199906;106,2;80,5;115,8
199907;106,5;81,1;116,8
199908;104,5;81,9;117,5
199909;107,4;81,4;117,9
199910;108,7;82,4;119,1
199911;108,9;82,4;119,8
199912;107,9;82,6;118,6
200001;108,8;81,9;118,7
200002;109;83,7;119,4
200003;109,8;83,6;120,4
200004;110,5;84,8;121,3
200005;111,9;86,8;122
200006;110,4;84,3;121,8
200007;111,7;86,4;121
200008;110,6;86,9;122
200009;111;87;121,9
200010;112,2;86,7;122,4
200011;112,1;87,1;124
200012;113,2;87,5;125,5
200101;112,5;87,2;122,2
200102;113,2;88,2;121,5
200103;113,8;87,1;121,6
200104;111,9;86;120,1
200105;112,8;86,8;120,2
200106;112,9;86,7;120,5
200107;111,2;84,5;118,1
200108;114,1;86,8;120,2
200109;112,4;85,6;118,4
200110;111,6;84;117,6
200111;110,3;83,2;115,9
200112;110,8;84,1;117,5
200201;110,8;83,9;116,7
200202;111,3;84,1;118
200203;111,8;84,6;118,8
200204;112,5;84,8;115,1
200205;111,6;84,1;119,3
200206;111,5;85,8;118,2
200207;110,5;84,5;117,5
200208;112,4;86,3;116
200209;111,1;85,5;118,5
200210;110,2;84,8;116,9
200211;111,2;85,9;119,1
200212;108,6;84,5;117,9
200301;110,8;85,3;119
200302;111,9;85,6;116,7
200303;110,9;85,6;116,8
200304;111;85,3;118,5
200305;108,2;84,8;114,5
200306;107,9;84,3;116
200307;109,8;85,9;117,7
200308;109,5;84,2;114,6
200309;109,2;83,7;115,4
200310;111,9;86;116,8
200311;109,6;86,6;118,3
200312;110,3;87;118,3
200401;111,2;87,1;118,3
200402;112,2;87,3;117,8
200403;111,9;86,6;115,8
200404;111,9;87,9;118
200405;111,3;88,6;117,7
200406;112,5;87,9;117
200407;112,8;89,1;117,3
200408;109;88,2;114,6
200409;112,8;88;116,4
200410;113,8;89,1;117,4
200411;111,8;87,6;115,6
200412;112,1;87,7;114,6
200501;114,1;89,6;114,7
200502;112,6;88,6;115,2
200503;110,1;89,6;115,2
200504;113,2;90,2;117,9
200505;111,8;89,2;115
200506;111,8;91;115
200507;111,3;92,2;116,6
200508;110,6;89,8;115,9
200509;113,7;91,9;116,3
200510;110,3;93,6;116,4
200511;114,8;92,7;117,7
200512;113,3;92,7;115,9
200601;112,6;93,7;116,3
200602;111,8;93,9;118,6
200603;114;93;119,3
200604;113,3;94,9;118,1
200605;115,2;95,8;121,1
200606;115;95,5;121,3
200607;113,3;97,1;119,5
200608;112,6;97,6;121,2
200609;114,4;97,3;121
200610;113,5;96,9;121,2
200611;112,9;98,6;121,2
200612;114,7;99,5;123,2
200701;113,4;99,2;122
200702;114,5;100,1;122,9
200703;115,5;100,6;123,8
200704;113,4;99,8;121,4
200705;116,1;101,6;123,9
200706;115,8;101,8;123,2
200707;116;102,5;122,3
200708;116,7;102,7;127,1
200709;114,1;103,6;123,7
200710;116,8;103,8;122,6
200711;114,5;103,5;121
200712;114,8;104,4;121,8
200801;115,8;105,3;124,5
200802;116,8;104,9;123,6
200803;115,4;104,8;124,2
200804;118,1;105,4;125,5
200805;112,4;103;121
200806;112,3;104,1;122,3
200807;113;102,5;118,5
200808;111,3;104,1;115,7
200809;111;102,1;114,9
200810;109;100;112,5
200811;103,5;95,6;108,5
200812;102,3;92,1;103,9
200901;98;85,7;100
200902;96,8;82,9;96,3
200903;95;83;92,6
200904;95;80,5;93,1
200905;96,3;84;94,6
200906;97,5;85,4;93,9
200907;97,1;84,4;96,1
200908;98,5;85,6;93,9
200909;99,3;89;96,8
200910;98,5;87,3;98,5
200911;99,6;87,8;98,7
200912;99,2;88,2;97,2
201001;99,9;89,4;100,4
201002;99,4;88,5;99,7
201003;101,4;90,6;100,1
201004;101;92,4;101
201005;102;95,4;101,3
201006;101,5;94,4;103,8
201007;102,1;94,4;103,6
201008;101,2;95,6;107,4
201009;102,5;96,8;102,9
201010;102,4;98,9;103,2
201011;103,6;98,3;103,8
201012;104,9;100,2;104,8
201101;106,1;99,5;102,6
201102;106,6;100,5;105,3
201103;105,3;100,9;105,5
201104;103,5;101,1;106,6
201105;107;102,1;104,6
201106;103,8;100,5;103,7
201107;105,1;103,7;103,3
201108;104;102,9;102,6
201109;103,4;101,3;102,3
201110;103,7;102,5;100,8
201111;105,9;101,8;101,7
201112;103,8;100,7;102,6
201201;103;101,1;98,6
201202;103,4;101,5;98,9
201203;102,8;102,3;99,3
201204;103,7;100,8;97,9
201205;101,6;102,5;99,5
201206;101,5;101,4;97,4
201207;102,3;102,2;98,5
201208;103,5;102,4;97,8
201209;102;101,1;97,5
201210;100,4;99,7;95,7
201211;100,5;99;94,3
201212;101,7;99,5;95,2
201301;101,1;98,6;95,1
201302;102,6;99,3;94,6
201303;102,8;101,1;94
201304;104,1;101;93,3
201305;103,8;100,2;95,1
201306;102,2;102;95
201307;101,5;100,4;94,9
201308;100,5;102,4;93,2
201309;101,6;102,1;94,9
201310;101,4;101,4;95,3
201311;102,8;103,1;95
201312;101,9;103,3;93,9
201401;100,4;102,6;95,6
201402;102,3;102,6;94,8
201403;101,6;102,9;93,7
201404;101,6;102,5;94,7
201405;100;102;93,4
201406;101,5;102,1;95,2
201407;102,5;103,8;93,9
201408;100,7;100,1;92,5
201409;101,9;102,6;93,2
201410;100,3;102,9;93,1
201411;98,8;102,8;93
201412;102,4;104,5;94
201501;102;102;93,7
201502;103;103,1;94,4
201503;102,9;103,1;94,8
201504;101,8;103,9;95
201505;102,5;104,1;95,8
201506;102,8;104;95,4
201507;101,9;105,5;96,4
201508;102,8;102,9;94
201509;103,9;103,1;95,1
201510;103,9;104;95,2
201511;101,6;102,7;95,9
201512;101,9;103,2;94,1
201601;103,5;104,8;96,9
201602;103,4;104,6;95,6
201603;102,6;103,8;95,7
201604;104,1;104,5;97,3
201605;102,3;102,8;95,7
201606;101,8;104,7;94,6
201607;101,6;103,4;96,6
201608;103,4;105;97,3
201609;102,5;104,7;97,2
201610;102,1;105,4;97,5
201611;104,3;105,2;98,5
201612;103,6;102,8;100,1
201701;103,6;104,6;97,2
201702;102,6;105,4;98,1
201703;104,7;104,9;99
201704;103,6;106,9;98,6
201705;106;107,2;99,4
201706;104,8;107;100,7
201707;104,8;107,5;101,4
201708;105,2;110;103,2
201709;106,5;108,9;100,2
201710;107;107,3;100,7
201711;107,3;111,1;102,4
201712;108,5;110,3;105,5
201801;104,6;109,6;101,4
201802;106,1;107,8;100,9
201803;107;109,5;102,4
201804;105,7;108,8;100,8
201805;104,6;110,4;101,8
201806;106,7;110,1;102,2
201807;106,2;108,2;101,1
201808;106,4;109,7;101,9
201809;105,2;108,4;102,1
201810;106,8;108,1;101,9
201811;105,6;106,1;100
201812;106,7;107,3;100,5
201901;107,4;107;100,9
201902;107,3;106,4;101,5
201903;107,1;107,5;100,6
201904;107,3;106;99,4
201905;109,1;106,4;101,4
201906;105,8;105,1;101,1
201907;106,8;104,7;101,3
201908;105,3;105,1;100,3
201909;106,6;104,1;100
201910;106,6;103,5;99,4
201911;105,8;103,8;99,6
201912;103,5;101,4;97
202001;105,5;104,5;100
202002;107,1;105,1;98,3
202003;86,8;94,4;70,7
202004;67,4;74,2;55,7
202005;81,8;82,5;80,5
202006;92,9;92,1;87,3
202007;97,3;94,1;93,4
202008;97,9;94;99,6
202009;99,8;96,4;95,5
202010;101,9;100,1;97,6
202011;100,3;101,3;95,7
202012;99,7;101,2;95,9
202101;102,8;101,7;98,2
202102;98,4;99,6;97,8
202103;100;101;98,2
202104;100;101,3;99,8
202105;99,9;100;98,2
202106;99,5;98,3;99,9
202107;100,4;100,1;100,9
202108;100,1;95,1;99,4
202109;98,7;95,5;100,4
202110;101,3;99,2;100,1
202111;99,2;99,7;102,3
202112;99,8;101;100,7
202201;101,9;100,9;95,7
202202;100,4;101,3;101
202203;99,9;95,9;101,4
202204;99;98;103,6
202205;100,1;98,8;101,4
202206;101,2;99,5;99,1
202207;99,7;99,4;99,8
202208;102,1;98,3;102,2
202209;102;100,3;99,8
202210;99,6;99,1;98,4
202211;100,9;100;98,5
202212;101,8;97,8;99,6
202301;100,3;99,2;98,3
202302;101,7;101,7;99,2
202303;100,3;99,2;98,7
202304;100,6;98,4;96,9
202305;102,7;99,3;98,2
202306;101,9;97,3;98,3
202307;101,8;96,3;97,7
202308;101,9;96,1;97,8
202309;101,7;95,3;98
202310;101,6;95,1;97,7
202311;101,9;95,2;96
202312;102,3;93,4;98,1
202401;101,6;94,2;94,8
202402;101,8;95;95,8
202403;101,4;94,3;95,1
202404;102,4;94,6;94,5
202405;100,2;91,9;94,4
202406;101,2;93,5;94,6
202407;101,5;90,8;93,7
202408;101,9;93,6;93,4
202409;101,6;91,4;93,3
202410;101,3;90,8;93,5
202411;101,2;92,2;94,1
202412;101;90,5;91,6
202501;100,4;92,1;94
202502;101,5;91,6;93,2
202503;101,6;94,4;93,3
