,external_conditions,brazil_external_index
200004,0.06258734860879168,-46.02793962794033
200007,0.06592601540702901,-48.483259388929376
200010,0.13113057521209695,-96.4359464556652
200101,0.1838851174660588,-135.2326512201149
200104,0.20285203060818047,-149.1812838501818
200107,0.20855136434113825,-153.37268346705605
200110,0.2808620186686405,-206.5513290851516
200201,0.22032876856588213,-162.0340129957879
200204,0.2226357119299836,-163.73058350481605
200207,0.25404518545534555,-186.82971429253035
200210,0.32981721174167083,-242.5539194061462
200301,0.2875310831115775,-211.4558873126146
200304,0.27954215994419224,-205.58067960028455
200307,0.28187396875718623,-207.29553663855364
200310,0.24544723086476053,-180.50661316081653
200401,0.21297697361502566,-156.6273616249151
200404,0.18149870456348663,-133.47763728441512
200407,0.15920518484499427,-117.08255421241991
200410,0.20006338755661088,-147.1304621286256
200501,0.03582272637783376,-26.344721795668836
200504,0.015876508420326122,-11.675889573801282
200507,0.0693972775801263,-51.03609233820103
200510,0.05630086836993538,-41.404741180679814
200601,-0.03808798955507274,28.010639893830703
200604,-0.09442419204158262,69.44136646326157
200607,-0.1253907585853773,92.21477494029301
200610,-0.13853503776587678,101.88133059444702
200701,-0.20678189095467925,152.0713787143294
200704,-0.1533995413811941,112.81297237530717
200707,-0.16914717724733636,124.39408659473531
200710,-0.11427665756095302,84.04125133940396
200801,-0.14328310213926948,105.37314843281116
200804,-0.07964075467159808,58.56934235800172
200807,-0.05184326747977919,38.12653577306583
200810,0.10961325242947403,-80.61169353541366
200901,0.31483915027603326,-231.53876499861306
200904,0.37671477291029376,-277.043287659458
200907,0.15564853034858783,-114.46692210662015
200910,0.0886083367719135,-65.16427466775508
201001,-0.0713401173128799,52.4648940355681
201004,-0.19850248519747796,145.9825445199032
201007,-0.10625350101373689,78.14086774128963
201010,-0.1532926733519376,112.73437957167968
201101,-0.29818943457752645,219.29424392481906
201104,-0.30581682366953794,224.90357252636014
201107,-0.2619523105537268,192.64476613206045
201110,-0.112515599114652,82.74613509547616
201201,-0.09497892189138367,69.84932546142998
201204,-0.0912785228758568,67.1279808722771
201207,-0.020558704524687,15.119266620571189
201210,0.03232235709812828,-23.77048292051142
201301,-0.07271507987567379,53.47606794271881
201304,-0.04326304863527365,31.816477850050696
201307,-0.08579745823963954,63.09710054613385
201310,-0.09799168360808318,72.0649683587892
201401,-0.09585121230700816,70.49082460591931
201404,-0.14848670251371796,109.19997620562718
201407,-0.07945760752182043,58.434652422409684
201410,0.013322393374086434,-9.797544256987196
201501,0.07417744248774852,-54.55151752668278
201504,0.2000812790658446,-147.14361988854304
201507,0.16782012802800092,-123.41814908166585
201510,0.18076191342444142,-132.9357869133705
201601,0.2009462790792833,-147.7797575310814
201604,0.10802329259204474,-79.4424064984203
201607,0.1453557653356889,-106.89742480166895
201610,0.08958211672397126,-65.8804111688293
201701,-0.012453026944297329,9.158195467905085
201704,0.03487109179712497,-25.64487142650698
201707,0.010762766486613517,-7.915145426145739
201710,0.05295365772300044,-38.943138109073125
201801,-0.009090635883399655,6.68542842797356
201804,0.009511882480792825,-6.995221275638055
201807,0.05015593858641108,-36.88564166007385
201810,0.02951917359544245,-21.708967871613225
201901,0.05036037528098604,-37.03598833627592
201904,0.012797737851030092,-9.411702496991143
201907,-0.004122757806332429,3.0319553652386664
201910,0.09885112759096085,-72.69701998961884
202001,-0.001054879248262447,0.7757784829212366
202004,0.9965582621006158,-732.8881082725552
202007,0.30845959285529184,-226.84711580205934
202010,0.13931552780130582,-102.4553179741567
202101,-0.12347903036462489,90.80885324707943
202104,-0.34432725166150635,253.22488176954275
202107,-0.4395401613020508,323.24628632093976
202110,-0.16518369101354005,121.47926260649366
202201,-0.26507637181611715,194.9422608554444
202204,-0.5502577302839956,404.6701154833948
202207,-0.22981535523007013,169.01063124149408
202210,-0.26304437779187584,193.44789337781367
202301,-0.22589872002107608,166.13026239776707
202304,-0.26833282778010353,197.337121188134
202307,-0.4097347885595779,301.3268420934191
202310,-0.3842845573255946,282.6102526740942
202401,-0.2779802887593326,204.43204949849365
202404,-0.28241151723295393,207.6908601238858
202407,-0.18838871763751133,138.54468538369153
202410,-0.14256262328135075,104.84329442696767
